Date,Close,High,Low,Open,Volume
1990-08-27,14.2119,14.3997,14.2119,14.2119,10340
1990-08-28,13.9614,14.1493,13.9614,14.1493,18150
1990-08-29,13.8988,14.0866,13.8988,13.9614,110
1990-08-30,14.0867,14.2745,14.0867,14.0867,2200
1990-08-31,14.024,14.2119,14.024,14.0866,29810
1990-09-04,13.711,13.8362,13.711,13.8362,4840
1990-09-05,13.5858,13.7736,13.5858,13.711,1870
1990-09-06,13.5232,13.6484,13.5232,13.5858,11770
1990-09-07,13.711,13.8988,13.711,13.711,3300
1990-09-10,14.024,14.1493,14.024,14.024,11660
1990-09-11,13.8362,14.024,13.8362,14.024,990
1990-09-12,14.0867,14.2119,14.0867,14.0867,16060
1990-09-13,13.8988,14.0866,13.8988,14.0866,16830
1990-09-14,13.7736,13.8988,13.7736,13.8988,3300
1990-09-17,13.6484,13.8988,13.6484,13.7736,660
1990-09-18,13.6484,13.8362,13.6484,13.6484,770
1990-09-19,13.5858,13.7736,13.5858,13.6484,10340
1990-09-20,13.3354,13.4606,13.3354,13.4606,16170
1990-09-21,13.2101,13.4606,13.2101,13.3354,10010
1990-09-24,13.2101,13.4606,13.2101,13.2101,880
1990-09-25,13.1475,13.3354,13.1475,13.2101,220
1990-09-26,12.9597,13.0849,12.9597,13.0849,17160
1990-09-27,12.9597,13.1475,12.9597,12.9597,2200
1990-09-28,12.8971,13.0223,12.8971,12.9597,6930
1990-10-01,14.024,14.1493,14.024,14.024,9350
1990-10-02,15.2136,15.4014,15.2136,15.2136,78320
1990-10-03,14.3997,14.5249,14.3997,14.5249,11550
1990-10-04,14.5875,14.8379,14.5875,14.5875,3740
1990-10-05,15.0258,15.2136,15.0258,15.0258,31790
1990-10-08,15.0258,15.2136,15.0258,15.0258,16500
1990-10-09,14.4623,14.7127,14.4623,14.7127,15730
1990-10-10,14.5249,14.7753,14.5249,14.5249,2200
1990-10-11,14.1493,14.3371,14.1493,14.3371,2200
1990-10-12,14.5249,14.7753,14.5249,14.5249,990
1990-10-15,14.7753,14.9632,14.7753,14.7753,12540
1990-10-16,14.9632,15.151,14.9632,14.9632,2750
1990-10-17,15.0884,15.2136,15.0884,15.0884,31680
1990-10-18,15.151,15.2762,15.151,15.151,7150
1990-10-19,15.151,15.2762,15.151,15.151,20680
1990-10-22,15.151,15.3388,15.151,15.151,4070
1990-10-23,14.9632,15.0884,14.9632,15.0884,4840
1990-10-24,14.7753,14.9005,14.7753,14.9005,9020
1990-10-25,14.5875,14.8379,14.5875,14.7753,17050
1990-10-26,14.3997,14.6501,14.3997,14.5875,770
1990-10-29,14.3997,14.6501,14.3997,14.3997,0
1990-10-30,14.1493,14.3371,14.1493,14.3371,3080
1990-10-31,14.0867,14.1493,14.0867,14.1493,0
1990-11-01,13.7736,13.8988,13.7736,13.8988,12320
1990-11-02,14.024,14.2119,14.024,14.024,8800
1990-11-05,14.1493,14.3997,14.1493,14.1493,1540
1990-11-06,14.024,14.2119,14.024,14.1493,8580
1990-11-07,13.5232,13.711,13.5232,13.711,2530
1990-11-08,13.5232,13.5858,13.5232,13.5232,6050
1990-11-09,13.6484,13.8988,13.6484,13.6484,12100
1990-11-12,14.1493,14.3371,14.1493,14.1493,6050
1990-11-13,14.024,14.2119,14.024,14.1493,4290
1990-11-14,13.9614,14.0867,13.9614,14.024,6600
1990-11-15,13.5858,13.8362,13.5858,13.8362,28710
1990-11-16,13.6484,13.7736,13.6484,13.6484,3080
1990-11-19,13.8362,14.024,13.8362,13.8362,1430
1990-11-20,13.5858,13.7736,13.5858,13.7736,440
1990-11-21,13.5858,13.711,13.5858,13.5858,440
1990-11-23,13.7736,13.9614,13.7736,13.7736,7370
1990-11-26,13.711,13.8988,13.711,13.7736,1540
1990-11-27,13.7736,13.8988,13.7736,13.7736,4290
1990-11-28,13.3354,13.5232,13.3354,13.5232,13860
1990-11-29,12.9597,13.1475,12.9597,13.1475,24750
1990-11-30,13.5232,13.7736,13.5232,13.5232,7040
1990-12-03,13.0223,13.2101,13.0223,13.2101,6270
1990-12-04,13.0223,13.1475,13.0223,13.0223,20240
1990-12-05,13.1475,13.398,13.1475,13.1475,6710
1990-12-06,13.711,13.8988,13.711,13.711,26290
1990-12-07,13.711,13.8988,13.711,13.711,2530
1990-12-10,13.398,13.5858,13.398,13.5858,11550
1990-12-11,13.6484,13.8362,13.6484,13.6484,6820
1990-12-12,13.711,13.8988,13.711,13.711,15070
1990-12-13,13.6484,13.7736,13.6484,13.711,9460
1990-12-14,13.0849,13.2728,13.0849,13.2728,49060
1990-12-17,13.0223,13.1475,13.0223,13.0849,6050
1990-12-18,13.2728,13.5232,13.2728,13.2728,1320
1990-12-19,13.2728,13.5232,13.2728,13.2728,3850
1990-12-20,13.1475,13.3354,13.1475,13.2728,5830
1990-12-21,13.0223,13.1475,13.0223,13.1475,25410
